"","ID","gene_name","rank_expr_norm","rank_pubmed_mean_norm","rank_tf_norm","rank_kinase_norm","rank_crisp_mean_norm","rank_crisp_min_norm","rank_expr_fold_change_norm","rank_is_TSG_norm","rank_GO_term_norm","rank_PPI_norm","SUM_RANK","is_oncogene"
"372","TCGA-AO-A03V_10_129858060_131041310","PTPRE",0.5,0.5,0.75,0.75,0.5,0.5,0.5,0.75,1,0.75,6.5,0
"373","TCGA-AO-A03V_10_129858060_131041310","MKI67",1,1,0.75,0.75,1,1,1,0.75,0.5,0.75,8.5,1
"374","TCGA-BH-A0DZ-a_17_62350436_62812526","MILR1",0.2,0.3,0.6,0.6,0.8,0.8,0.4,0.6,0.6,0.6,5.5,0
"375","TCGA-BH-A0DZ-a_17_62350436_62812526","POLG2",0.6,0.6,0.6,0.6,0.4,0.6,0.8,0.6,0.4,0.6,5.8,0
"376","TCGA-BH-A0DZ-a_17_62350436_62812526","DDX5",1,1,0.6,0.6,1,1,0.2,0.6,1,0.6,7.6,1
"377","TCGA-BH-A0DZ-a_17_62350436_62812526","CEP95",0.8,0.3,0.6,0.6,0.2,0.2,1,0.6,0.2,0.6,5.1,0
"378","TCGA-BH-A0DZ-a_17_62350436_62812526","SMURF2",0.4,0.8,0.6,0.6,0.6,0.4,0.6,0.6,0.8,0.6,6,0
"379","TCGA-BH-A0GY_20_50386671_51744479","SALL4",0.33,1,0.67,0.67,1,1,1,0.67,1,0.67,8.01,1
"380","TCGA-BH-A0GY_20_50386671_51744479","ZFP64",1,0.5,0.67,0.67,0.33,0.67,0.67,0.67,0.67,0.67,6.52,0
"381","TCGA-BH-A0GY_20_50386671_51744479","TSHZ2",0.67,0.5,0.67,0.67,0.67,0.33,0.33,0.67,0.33,0.67,5.51,0
"382","TCGA-BH-A1EV_15_34499699_35365520","KATNBL1",0.33,0.12,0.5,0.54,0.33,0.5,0.08,0.54,0.75,0.54,4.23,0
"383","TCGA-BH-A1EV_15_34499699_35365520","EMC4",0.92,0.29,0.5,0.54,0.83,0.75,0.75,0.54,0.46,0.54,6.12,0
"384","TCGA-BH-A1EV_15_34499699_35365520","SLC12A6",0.42,0.5,0.5,0.54,0.67,0.33,0.25,0.54,0.67,0.54,4.96,0
"385","TCGA-BH-A1EV_15_34499699_35365520","NOP10",1,0.83,0.5,0.54,0.92,0.92,0.92,0.54,1,0.54,7.71,0
"386","TCGA-BH-A1EV_15_34499699_35365520","NUTM1",0.17,0.92,0.5,0.54,0.46,0.83,0.58,0.54,0.21,0.54,5.29,1
"387","TCGA-BH-A1EV_15_34499699_35365520","LPCAT4",0.67,0.5,0.5,0.54,0.75,0.67,0.5,0.54,0.21,0.54,5.42,0
"388","TCGA-BH-A1EV_15_34499699_35365520","GOLGA8A",0.58,0.12,0.5,0.54,0.08,0.08,0.33,0.54,0.21,0.54,3.52,0
"389","TCGA-BH-A1EV_15_34499699_35365520","GOLGA8B",0.5,0.75,0.5,0.54,0.17,0.17,0.17,0.54,0.21,0.54,4.09,0
"390","TCGA-BH-A1EV_15_34499699_35365520","GJD2",0.08,0.5,0.5,0.54,0.25,0.25,0.42,0.54,0.92,0.54,4.54,0
"391","TCGA-BH-A1EV_15_34499699_35365520","ACTC1",0.25,1,0.5,0.54,0.58,0.42,0.83,0.54,0.83,0.54,6.03,0
"392","TCGA-BH-A1EV_15_34499699_35365520","AQR",0.83,0.67,0.5,0.54,1,1,1,0.54,0.46,0.54,7.08,0
