gene_name rank count
PRKACB 54 1
CHM 21.5 1
SLC6A15 49.5 5
PICALM 70.5 3
FZD4 83 1
KCMF1 16.5 1
LPAR3 49 1
VGLL3 29 9
NTS 39 2
RASSF9 42 2
ALX1 24 1
C1orf52 34 1
E2F5 68.5 1
DACH2 15 1
KLHL4 15 1
MGAT4C 10 4
AGBL1 10 1
HTR1E 16.5 1
CGGBP1 48 1
DBF4 52 2
TGIF2LX 15.5 1
GRM5 21 3
SRI 39.5 1
RAB38 15.5 1
CNBD1 10 1
MMP16 23 2
TYR 26.5 1
CEP290 32.5 4
DCAF4L2 22.5 1
ZNF804B 10 1
KITLG 15.5 2
RNGTT 61.5 1
CHORDC1 67 3
FANCI 99.5 1
TICRR 87.5 1
FOXN3 32 1
DUSP6 34 1
ATP2B1 34 3
ABHD2 36 1
GTPBP10 33.5 1
CLDN12 21.5 1
CDK14 10 1
BARHL2 15.5 1
FAT3 10 1
RIPK2 31 1
PCDH11X 10 5
SPIN1 15.5 1
DECR1 23 2
EPYC 33 1
DCN 15.5 1
TMEM64 41.5 1
OTUD6B 43.5 3
SLCO3A1 35.5 4
CCDC88C 53.5 1
EEA1 47 3
GADD45G 15.5 1
CLLU1 22 1
SLC26A7 15.5 1
C12orf79 10 1
CALCR 22 1
SGCE 68.5 2
RGMA 15.5 3
TRIQK 10 2
UBE2N 30 1
TAF1D 78.5 1
MED17 76.5 1
BET1 29.5 2
COL1A2 47 2
PROS1 37 1
DR1 70.5 2
TMEM67 46 1
MCTP2 10 5
DNTTIP2 29 1
PON1 72 1
SOCS2 16.5 1
GPC6 10 1
GSC 50 1
PON2 35.5 1
NR2C1 39 2
EPHA6 16 1
PTDSS1 113 1
UQCRB 112.5 2
MRPS5 23 1
DIAPH2 10 1
DYNC1I1 21 1
SNRPF 81 8
MANEA 10 1
DLX5 50 1
NR2F2 10 1
C8orf37 10 1
GPAT2 30 1
ELK3 28.5 6
NEDD1 27 4
ALDH18A1 119.5 1
BLNK 110.5 1
UFL1 25 1
SNRNP200 105 1
NCAPH 103 1
CHD1 17 1
COX5B 111 2
TMEM131 101.5 2
ANKRD39 65 1
SEMA4C 39.5 2
FAHD2B 40.5 1
C14orf177 17 2
RP11-204N11.1 10 1
TMPO 16.5 1
CNTN5 10 14
MTDH 22.5 1
PCDH19 10 1
COL8A1 10 1
RPL30 51 1
MCM7 419 2
CPSF4 383.5 1
COPS6 383 2
PDAP1 374 1
POP7 371 1
MEPCE 370.5 1
LAMTOR4 150 1
STK3 33.5 2
FAM174A 16.5 2
CCNK 53 1
LRRC28 74 2
AGL 26.5 1
OSR2 21.5 1
SIM1 52.5 4
ASCC3 52.5 4
COX6C 73.5 6
TFG 40 2
ARHGAP42 10 1
MCHR2 10 1
ASB7 38 1
ACTR6 45 1
NR1H4 22 1
TRPC6 10 1
RNF19A 21.5 2
RPL31 23.5 1
ANKRD46 15.5 1
LRRK1 23 1
TMSB15A 39 1
SNRPA1 44 1
UTP20 29.5 1
ANGPTL5 15.5 1
GRIK2 15 3
PPIP5K2 39 1
DRAM1 58 1
TCEAL7 69.5 2
MMP10 61 3
MORF4L2 153.5 2
TCEAL1 149.5 1
PSMC2 70.5 3
MMP8 74.5 1
MMP13 74.5 4
DCUN1D5 77.5 3
ARMC10 39 1
GRHL2 26 1
DYNC2H1 43 5
ORC5 74 2
EIF5 110 1
CINP 107.5 1
TPP2 51.5 1
RCOR1 43 1
RNPC3 40.5 1
AMY2A 40.5 1
RELN 10 1
UBE2D3 28 1
PDGFD 16.5 3
HSP90B1 84 1
NFYB 84 1
IL1RAPL2 15 2
TEX13A 15 1
HACE1 10 1
MRPL50 27 1
C12orf42 21 1
RINT1 61.5 2
LHFPL3 10 1
DCAF13 38 1
TRIM8 61 1
GRIN3A 15.5 1
LRP12 29 2
PREP 36.5 3
LIN28B 66 4
CARD16 28.5 1
AASDHPPT 31 3
MRPS9 16 1
RTN4IP1 83.5 5
QRSL1 77 8
SYPL1 24 1
MUM1L1 10 1
NAMPT 38 2
C12orf75 15.5 1
PRPS1 99 1
TSC22D3 94.5 1
ZFPM2 10 3
CWF19L2 22 2
UXS1 22 1
NUAK1 10 1
ATG5 10 3
POLR3B 36 1
OXR1 15 3
DLD 122 2
HBP1 108.5 1
ENY2 70 5
PDSS2 46.5 6
AIM1 21 1
SEC63 85.5 4
BEND3 20.5 1
VAV3 17.5 1
FBXL17 15 1
FER 15 1
LIG4 35 1
ANGPT1 10 2
NXT2 16.5 1
THAP5 27 1
RGPD4 22.5 1
C7orf66 10 1
SULT1C2 31 1
SULT1C4 31 1
LIMS1 31 1
SH3RF3 33 2
CD164 93.5 2
CDC40 87.5 2
MYO16 10 1
RAD23B 17 1
ZBTB24 42.5 1
ATP2A2 154 1
GPN3 131.5 1
GIT2 129 1
GSTM3 107 1
GSTM2 95 1
IMMP2L 10 1
PAK3 50 1
ALG13 50 2
AMD1 35.5 1
COL4A1 48 1
ATG3 105.5 1
CD96 89.5 1
CARS2 17.5 1
ZNF277 59.5 1
TMEM245 52 1
CUX2 16 1
TXN 185.5 1
UGCG 167.5 1
HSDL2 164 1
FOXP2 22 5
DDX54 95 1
OAS3 86 1
SLC8B1 86 1
RP11-67H2.1 10 3
TFDP1 107 2
CDC16 92 1
ACSL5 29 1
PGGT1B 42.5 1
RBM19 16 1
TMEM255B 20 1
GAS6 20 1
RASA3 20 1
ATG12 78.5 2
AP3S1 78 2
LSAMP 16.5 1
TES 16 2
TFEC 10 1
TRPS1 15 8
SLC6A14 16.5 1
EIF3H 38 5
MED30 38 3
IGSF3 132.5 1
TTF2 129 4
FRK 111 2
TSPYL1 106 1
SLC22A15 42.5 4
NT5DC1 15 1
MED13L 17.5 2
VTCN1 96 2
BUD13 41 1
SIK3 41 1
ASZ1 26.5 2
WNT2 20.5 1
RFX6 31 1
CTTNBP2 15.5 1
PTGFRN 82 1
WDR3 82 2
CFTR 28.5 1
IL13RA1 43.5 1
SLC30A8 15.5 1
ARCN1 132 1
CD3D 120 1
PHLDB1 120 1
SLC35F1 10 1
DBI 65 1
ASF1A 44.5 1
TBX15 15 1
WARS2 15 1
SUDS3 16 1
KCND2 10 2
SAMD12 16.5 1
RHOXF2 177.5 1
MCTS1 171.5 2
CUL4B 167.5 2
ZBTB33 154 1
TAF2 58 1
DSCC1 58 2
MAN1A1 15.5 4
SRRM4 21 1
HSPB8 21 1
CIT 37 1
ENPP2 31.5 1
FABP2 38.5 1
ING3 52 1
REG4 15.5 1
GRIK4 10 1
MTBP 37 3
CAMKK2 57 1
SORL1 22 1
MRPL13 29.5 1
TBC1D32 10 1
HSF2 78 5
GJA1 72.5 1
KDM2B 131 2
ANAPC5 128.5 1
PSMD9 73.5 1
CLASP1 16 1
UBASH3B 15.5 1
NDUFA5 77 2
WASL 74 1
ATAD2 47 6
ZNF202 102 1
OR4D5 95.5 1
NSMCE4A 36.5 1
NKAIN2 38 4
FAM83A 72 1
DERL1 71 2
TMED2 114 1
CDK2AP1 107 1
SQLE 172 8
MTSS1 157 2
HTRA1 63 1
NDUFB9 89 7
GPR37 10 1
ANXA13 110.5 1
TPD52L1 52 3
TMEM65 15.5 1
GRM8 10 4
CNTNAP5 10 3
DCPS 120 3
FOXRED1 119.5 2
AACS 17.5 1
CHST15 10 1
TRMT11 28 1
NSMCE2 35 2
TRIB1 16 2
ST3GAL4 35 1
PSMB7 100 2
RPL35 96 1
CENPW 17.5 1
CTBP2 46.5 1
FAM84B 10 4
POU5F1B 15 5
BCCIP 65 1
HSPA5 37 1
LAMA2 29.5 3
ADAM12 17.5 1
THEMIS 10 1
HILPDA 39.5 1
L3MBTL3 58 2
DOCK1 22.5 3
TMEM75 10 1
TMEM45B 10 1
ENOX2 10 1
CDK9 127.5 1
RPL12 113 1
TMEM132D 10 1
GSDMC 27 3
IMP4 116 1
SMPD4 110 1
MKLN1 15.5 1
ASAP1 21 2
ADCY8 21 5
EPB41L2 24 1
GLRX3 23.5 1
EBF3 10 1
NCAPD3 91.5 1
THYN1 82.5 1
ACAD8 82.5 1
MED23 54.5 2
EFR3A 35 5
C2orf27A 15.5 1
TCERG1L 10 1
CHCHD3 17 1
PHF20L1 75.5 2
ST3GAL1 68 5
EXOC4 26.5 1
AKR1B1 26.5 1
HPRT1 62 1
JAM3 21 1
TG 26.5 1
ZNF511 101 1
TUBGCP2 97.5 1
ECHS1 97.5 1
INPP5A 42 1
ZFAT 10 5
MED27 10 1
MSL2 21 3
PCCB 21 1
CCNT2 36.5 1
KHDRBS3 10 2
RBMX 32 1
ZIC3 10 1
BCLAF1 30.5 3
IL20RA 101.5 1
PTN 21.5 1
PERP 45.5 3
HEBP2 45.5 1
CITED2 74 6
CCDC28A 69 1
FAM135B 21.5 2
KCNK9 28.5 1
ATP11C 16.5 1
COL22A1 15.5 1
SLC7A11 10 1
NMNAT3 23 1
ATP1B3 30 2
PTK2 47 2
VTA1 22 3
SPANXN4 10 1
LY6K 109 3
PTP4A3 108 1
U2SURP 42 1
PLAGL1 87.5 3
LTV1 73.5 2
HIVEP2 16 1
GLI4 139 1
ZNF696 133.5 1
THEM6 92 1
SF3B5 75.5 2
RHPN1 82.5 1
GSDMD 75.5 1
UTRN 10 2
GRM1 54 4
EPM2A 10 1
RBM8A 108.5 1
POLR3C 98.5 1
PLOD2 33.5 1
PLSCR2 33.5 1
SHPRH 41.5 1
SASH1 28.5 5
STXBP5 22 1
AFF2 10 2
SAMD5 10 1
GYG1 46.5 1
TAB2 23.5 2
SF3B4 87.5 1
PRPF3 79.5 1
NUP43 76.5 1
ULBP2 74 2
MTHFD1L 32.5 3
GPR87 42.5 1
PSMB4 165.5 1
PI4KB 162.5 1
S100A11 159.5 1
SPRR1A 183.5 1
CRCT1 176.5 1
LCE5A 168 1
RAP2B 10 1
FBXO5 95 4
MTRF1L 82 1
ILF2 300.5 1
S100A6 275 1
CRTC2 274 1
RAB13 274 1
S100A14 271 1
NPR1 271 1
PRPF40A 24 1
TIGD4 15.5 1
TRIM2 47.5 1
FGA 89 1
FGG 89 1
ADAR 80 1
UBE2Q1 77 1
IPCEF1 15.5 1
CKS1B 222 2
FDPS 209 2
MUC1 202.5 1
EFNA3 198.5 1
SHC1 236 1
ASH1L 234 1
VAMP7 23 1
SLC33A1 24 1
LRAT 24 1
NR4A2 16 1
TDO2 54 1
SHOX2 25 1
CD1D 41.5 2
CD5L 75.5 1
SNX9 22 1
GTF2H5 29.5 1
PTTG1 58.5 2
DYNLT1 43.5 1
NMD3 40 2
USF1 203 2
F11R 192 1
UFC1 184 3
NDUFS2 180.5 1
PFDN2 131.5 1
UAP1 49.5 1
UHMK1 43 1
BCHE 16.5 2
UCK2 74 1
MGST3 70.5 1
PDE10A 17.5 1
SCN9A 63 1
RNASET2 63 1
TADA1 17 1
MPC1 28 1
POU2F1 52.5 1
SPOCK3 10 1
PRRX1 326.5 4
PIGC 323.5 1
MPZL1 321 1
DNM3 321 3
PRRC2C 317.5 4
GOLIM4 10 1
KIF25 21.5 1
TIPRL 65 1
XCL1 65 1
SLIT3 10 1
ATP1B1 28.5 1
F5 74.5 1
SCYL3 70 1
KIFAP3 70 1
C1orf112 41 1
GORAB 10 1
SSB 38.5 1
TNIK 22 1
METTL13 82.5 1
FMO3 41.5 1
FMO1 41.5 1
PLD1 15.5 1
ECT2 83 2
FNDC3B 74 1
TNFSF10 39 2
BNIP1 47.5 1
NLGN1 15.5 1
NAALADL2 10 5
SFXN1 16.5 1
TNR 15.5 1
ATF2 18 1
PAPPA2 15.5 1
RASAL2 23 1
SESTD1 16 1
TRIM41 64 1
FXR1 29.5 1
DNAJC19 29.5 1
TENM3 10 1
NCKAP1 71 3
B3GNT5 29.5 1
PSMD2 175 1
POLR2H 173.5 1
AP2M1 160 2
YEATS2 54.5 1
ARPC5 88 1
SMG7 80 1
EIF2B5 94 1
EDEM3 29.5 2
IVNS1ABP 15.5 1
HMCN1 10 1
PDC 21 1
PTGS2 21 1
TPRG1 10 1
CLDN1 28.5 1
WDR75 90 1
COL3A1 84 1
HIBCH 42 2
CCDC50 29.5 1
UCHL5 68 1
MYO1B 25 1
LSG1 77.5 1
OPA1 75.5 1
DLG1 10 1
RPL35A 44.5 1
NEK7 17 1
PLCL1 10 1
NR5A2 10 1
KIF14 26.5 1
DDX59 26.5 1
KDM5B 141 1
ZBED6 133.5 1
NOP58 76 1
WDR12 76 2
SNRPE 39.5 2
PLXNA2 10 1
IRF6 38 1
RPE 40 1
NEK2 41 1
SPAG16 16.5 1
ESRRG 18 1
IARS2 84 1
RRP15 82.5 1
HLX 39.5 1
CAPN8 58.5 1
TP53BP2 58.5 1
SUSD4 24 1
NVL 34 1
RAB4A 41.5 1
HES6 89 1
UBE2F 78.5 1
NDUFA10 80.5 2
TWIST2 72 1
DESI2 30.5 1
