gene_name rank count
PRL 10 1
ZNF208 57.5 1
DDX53 27 2
NXT1 93 1
C2CD5 15.5 3
PRMT5 264.5 2
PSMB5 254 2
PABPN1 231 3
DAD1 229 2
TOMM7 39.5 1
KLHL29 22 1
PRDM9 24 2
HDGFL1 10 1
KDM1A 92.5 1
EPHB2 87.5 1
SOX5 21 6
ZNF492 23 1
PTCHD1 15.5 1
SSTR4 21 1
THBD 21 1
CYFIP1 28.5 1
DCDC2 33.5 1
MRS2 33.5 1
ZNF91 62 2
PLK1 103.5 1
RBBP6 88 2
ELAVL2 10 2
PRDX4 51 1
ZNF726 39 1
NGDN 110 1
GINS1 94 1
CST1 89 1
TAF4B 38.5 1
MIPEP 58.5 1
NRSN1 15.5 1
NPY 27.5 1
OSBPL3 27.5 1
LUZP2 15 2
KCTD1 23.5 1
C5orf17 10 1
PDK3 24 1
GMNN 68 1
CHST9 10 1
RBPJ 75 2
CYCS 25 2
GZMB 26.5 1
PIWIL3 22 1
SGSM1 22 1
SCGN 15.5 1
STXBP6 10 1
ZKSCAN2 22 1
SLC17A2 53.5 1
WSB1 10 2
LGALS9 47 5
KSR1 28.5 3
UBE3A 16.5 1
CRYBB3 52.5 1
TUSC1 10 1
CDH9 10 1
SEL1L3 15.5 1
BHLHE41 76 2
GPR158 10 2
DSG2 66 3
LRRC3B 10 1
FGFR1OP2 48.5 1
STMN1 93.5 1
PDIK1L 80 1
GABRB3 10 1
MED21 65 4
ITPR2 15.5 1
NOVA1 10 3
DCAF8L1 24 1
PLAA 45 3
SLC4A7 23.5 1
CAAP1 15 1
GABPA 43 2
RPL23A 237 3
SPAG5 234.5 1
PIGS 233 1
TRAF4 222.5 2
PRSS16 64 1
RAB34 82.5 1
MRPS35 106.5 2
PHF12 118.5 4
FLOT2 112.5 2
BDNF 32 1
MYO18A 134 6
USP12 16.5 1
GIT1 83.5 2
C9orf72 23 2
NSRP1 89.5 2
SSH2 127 1
CPD 124.5 2
GTF3A 48 2
PTHLH 72 1
FAR2 68.5 3
LINGO2 10 1
ADAMTS1 23 1
SCFD1 59.5 1
POLR1D 43.5 1
PDX1 43.5 1
ERGIC2 42.5 4
EXTL3 53.5 2
CREB5 10 1
UQCRFS1 10 5
CCDC91 10 2
TRAPPC8 104.5 2
CPVL 15.5 2
PCDH7 10 3
RNF138 72 2
ZFP57 275 1
MDC1 265.5 1
RPP21 262.5 1
PPP1R11 252.5 1
GTF2E2 61.5 2
GSR 61.5 2
TEFM 61 1
PSMD11 151.5 8
ZNF207 142 3
UTP6 141.5 2
RNF135 51.5 1
FRG1B 15.5 1
MAGEB2 62 1
MTUS2 10 1
DCTN6 16.5 2
POP4 39 1
TMTC1 10 2
KCNA4 10 2
HM13 60.5 1
THOC5 58 2
NIPSNAP1 78 1
PRKD1 10 1
ZMAT5 77.5 1
LIF 72 1
IPO8 15.5 1
KIAA1462 10 1
NOD1 22 1
DDX11 31.5 4
CDH6 10 1
CAPRIN2 15.5 1
GK 28.5 2
TAB3 28.5 2
URI1 10 3
PLAGL2 167.5 2
PDRG1 159 1
MAPRE1 159 1
ZNF536 15 5
STT3B 16 1
TM9SF4 35 1
MAP3K8 24.5 1
GOLPH3 42.5 1
PES1 196.5 1
DRG1 184.5 1
MORC2 175.5 1
ELP4 41.5 2
TMEM98 23 1
GRIK1 219 1
CLDN17 215 1
KRTAP20-2 199.5 1
FUT10 10 2
ZNF507 26 1
HSPH1 36 1
KLF13 29 1
NEUROD6 22 1
CSNK2B 231.5 1
TNF 223 1
MICB 219.5 1
DDX39B 218 1
LST1 218 1
SPACA3 16.5 2
HECTD1 47 2
SLC39A6 131.5 2
ELP2 127.5 1
NDUFB6 36.5 2
E2F1 205.5 1
AHCY 181.5 4
RALY 179.5 2
ASIC2 10 2
TSHZ3 10 3
DMD 10 4
BICD1 48 4
CMTM6 61.5 1
PDE1C 22 1
SOD1 293.5 1
HUNK 274.5 1
URB1 270.5 1
MIS18A 269.5 1
LSM5 23 1
ACO1 40.5 1
MAK16 36 1
PDCD5 65.5 6
PISD 29.5 1
RHPN2 109 2
EIF3M 43.5 2
FRY 33 1
CCL7 23 1
DNM1L 35.5 1
CCT6B 41.5 1
DYNLRB1 103 3
EIF6 178 3
EIF2S2 172.5 1
LIG3 65.5 2
CSTF3 49.5 1
ITGB1 10 1
NCOA6 61 2
PKP2 18 1
GSS 95 2
INO80C 22 1
ALG10 16.5 2
TIMP3 15.5 1
TTI2 36 2
SYN3 21 1
FBXO3 41 1
ROMO1 189.5 2
RBM39 168.5 1
