gene	pubmed_invasion	pubmed_cancer	pubmed_growth	pubmed_migration	pubmed_prolifiration
AC008387.1	0	0	0	0	0
AC008394.1	0	0	0	0	0
AC008443.1	0	0	0	0	0
AC008498.1	0	0	0	0	0
AC008686.1	0	0	0	0	0
AC008914.1	0	0	0	0	0
AC008948.1	0	0	0	0	0
AC008964.1	0	0	0	0	0
AC009041.2	0	0	0	0	0
AC009060.1	0	0	0	0	0
AC009065.1	0	1	0	0	0
AC009365.3	0	0	0	0	0
AC009403.2	0	0	0	0	0
AC009802.1	0	0	0	0	0
AC009892.10	0	0	0	0	0
AC009977.1	0	0	0	0	0
AC010327.2	0	0	0	0	0
AC010336.1	0	0	0	0	0
AC010368.2	0	0	0	0	0
AC010441.1	0	0	0	0	0
AC010536.1	0	0	0	0	0
AC010547.9	0	0	0	0	0
AC010642.1	0	0	0	0	0
AC010646.3	0	0	0	0	0
AC010760.1	0	0	0	0	0
AC010877.1	0	0	0	0	0
AC011239.1	0	0	0	0	0
AC011294.3	0	0	0	0	0
AC011298.1	0	1	0	0	0
AC011308.1	0	0	0	0	0
AC011366.3	0	0	0	0	0
AC011475.1	0	0	0	0	0
AC011484.1	0	0	0	0	0
AC011500.1	0	0	0	0	0
AC011530.4	0	0	0	0	0
AC011551.3	0	0	0	0	0
AC011755.1	0	0	0	0	0
AC011897.1	0	0	0	0	0
AC011997.1	0	1	0	0	0
AC012067.1	0	0	0	0	0
AC012123.1	0	0	0	0	0
AC012215.1	0	0	0	0	0
AC012313.1	0	0	0	0	0
AC012360.1	0	0	0	0	1
AC012360.2	0	0	0	0	0
AC012414.1	0	0	0	0	0
AC012485.1	0	0	0	0	0
AC012493.2	0	0	0	0	0
AC013269.5	0	0	0	0	0
AC013449.1	0	0	0	0	0
AC013468.1	0	0	0	0	0
AC013469.1	0	0	0	0	0
AC015660.1	0	0	0	0	0
AC015688.3	0	0	0	0	0
AC015987.2	0	0	0	0	0
AC015989.1	0	0	0	0	0
AC015989.2	0	0	0	0	0
AC016251.1	0	0	0	0	0
AC016559.1	0	0	0	0	0
AC016586.1	0	0	0	0	0
AC016722.1	0	0	0	0	0
AC016722.2	0	0	0	0	0
AC016745.1	0	0	0	0	0
AC016752.1	0	0	0	0	0
AC016757.3	0	0	0	0	0
AC016885.1	0	0	0	0	0
AC017028.1	0	0	0	0	0
AC017081.1	0	0	0	0	0
AC017104.2	0	0	0	0	0
AC018445.1	0	0	0	0	0
AC018470.1	0	0	0	0	0
AC018512.1	0	0	0	0	0
AC018630.1	0	0	0	0	0
AC018755.1	0	0	0	0	0
AC018816.3	0	0	0	0	0
AC018867.1	0	0	0	0	0
AC018867.2	0	0	0	0	0
AC019171.1	0	0	0	0	0
AC019206.1	0	0	0	0	0
AC019294.1	0	0	0	0	0
AC020629.1	0	0	0	0	0
AC020907.1	0	1	0	0	0
AC020922.1	0	0	0	0	0
AC020952.1	0	0	0	0	0
AC021218.2	0	1	0	0	0
AC021860.1	0	0	0	0	0
AC022210.1	0	0	0	0	0
AC022400.2	0	0	0	0	0
AC022431.2	0	0	0	0	0
AC022498.1	0	0	0	0	0
AC022532.1	0	0	0	0	0
AC022819.2	0	0	0	0	0
AC023469.1	0	0	0	0	0
AC023590.1	0	0	0	0	0
AC023632.1	0	0	0	0	0
AC024257.1	0	0	0	0	0
AC024580.1	0	0	0	0	0
AC024592.12	0	0	0	0	0
AC024940.1	0	0	0	0	0
AC025262.1	0	0	0	0	0
AC025263.3	0	0	0	0	0
AC025278.1	0	0	0	0	0
AC025287.1	0	0	0	0	0
AC026202.1	0	0	0	0	0
AC026310.1	0	1	0	0	0
AC026369.1	0	0	0	0	0
AC026407.1	0	0	0	0	0
AC026461.1	0	1	0	0	0
AC026703.1	0	0	0	0	0
AC026740.1	0	0	0	0	0
AC027228.1	0	0	0	0	0
AC027307.3	0	0	0	0	0
AC027309.1	0	0	0	0	0
AC027763.2	0	0	0	0	0
AC037199.1	0	0	0	0	0
AC037459.4	0	1	0	0	0
AC040160.1	0	1	0	0	1
AC040977.1	0	0	0	0	0
AC051642.1	0	0	0	0	0
AC055736.1	0	0	0	0	0
AC061975.10	0	0	0	0	0
AC061992.1	0	4	0	0	0
AC062017.1	0	1	0	0	0
AC064874.1	0	0	0	0	0
AC068039.1	0	0	0	0	0
AC068533.7	0	0	0	0	0
AC068620.1	0	0	0	0	0
AC068987.1	0	0	0	0	0
AC069368.3	0	0	0	0	0
AC069547.1	0	0	0	0	0
AC069547.2	0	0	0	0	0
AC073063.1	0	0	0	0	0
AC073188.1	0	0	0	0	0
AC073333.1	0	0	0	0	0
AC073342.1	0	0	0	0	0
AC073343.1	0	0	0	0	0
AC073528.1	0	0	0	0	0
AC073569.1	0	0	0	0	0
AC073610.5	0	0	0	0	0
AC073657.1	0	0	0	0	0
AC074091.13	0	0	0	0	0
AC074212.3	0	0	0	0	0
AC074389.6	0	0	0	0	0
AC078925.1	0	0	0	0	0
AC079210.1	0	0	0	0	0
AC079341.1	0	1	0	0	0
AC079354.1	0	0	0	0	0
AC079354.2	0	0	0	0	0
AC079602.1	0	0	0	0	0
AC079612.1	0	2	0	0	0
AC083862.1	0	0	0	0	0
AC084121.16	0	0	0	0	0
AC087239.1	0	0	0	0	0
AC087477.1	0	0	0	0	0
AC087645.1	0	0	0	0	0
AC090186.1	0	0	0	0	0
AC090427.1	0	0	0	0	0
AC090574.1	0	0	0	0	0
AC090616.2	0	0	0	0	0
AC090673.2	0	0	0	0	0
AC091150.1	0	0	0	0	0
AC091801.1	0	0	0	0	0
AC091948.1	0	0	0	0	0
AC092291.2	0	0	0	0	0
AC092384.1	0	0	0	0	0
AC092675.3	0	0	0	0	0
AC092687.4	0	0	0	0	0
AC092782.1	0	0	0	0	0
AC092811.1	0	1	0	0	0
AC092850.1	0	0	0	0	0
AC092964.1	0	0	0	0	0
AC092964.2	0	0	0	0	0
AC093157.1	0	2	0	0	0
AC093323.1	0	0	0	0	0
AC093677.1	0	0	0	0	0
AC093802.1	0	0	0	0	0
AC096582.1	0	0	0	0	0
AC096644.1	0	0	0	0	0
AC096677.1	0	1	0	0	0
AC097381.1	0	0	0	0	0
AC099344.1	0	0	0	0	0
AC099552.4	0	0	0	0	0
AC102948.2	0	0	0	0	0
AC103801.2	0	0	0	0	0
AC103809.2	0	0	0	0	0
AC104057.1	0	0	0	0	0
AC104472.1	0	1	0	0	0
AC104532.2	0	0	0	0	0
AC104534.3	0	0	0	0	0
AC104667.3	0	0	0	0	0
AC104794.4	0	0	0	0	0
AC104809.3	0	0	0	0	0
AC104841.2	0	0	0	0	0
AC105020.1	0	0	0	0	0
AC106017.1	0	0	0	0	0
AC106873.4	0	0	0	0	0
AC106876.2	0	0	0	0	0
AC107021.1	0	0	0	0	0
AC108868.1	0	0	0	0	0
AC109583.1	0	0	0	0	0
AC109829.1	0	0	0	0	0
AC110084.1	0	0	0	0	0
AC110615.1	0	0	0	0	0
AC110619.2	0	0	0	0	0
AC110771.1	0	0	0	0	0
AC110781.3	0	0	0	0	0
AC110792.1	0	0	0	0	0
AC111200.1	0	0	0	0	0
AC112205.1	0	0	0	0	0
AC112693.2	0	0	0	0	0
AC112715.2	0	0	0	0	0
AC112721.1	0	8	0	0	0
AC114494.1	0	0	0	0	0
AC114546.1	0	0	0	0	0
AC114783.1	0	0	0	0	0
AC115618.1	0	0	0	0	0
AC116407.2	0	0	0	0	0
AC117395.1	0	0	0	0	0
AC117834.1	0	0	0	0	0
AC119673.1	0	0	0	0	0
AC120194.1	0	0	0	0	0
AC121757.1	0	0	0	0	0
AC124890.1	0	0	0	0	0
AC126614.1	0	0	0	0	0
AC127496.1	0	0	0	0	0
AC129492.6	0	0	0	0	0
AC131097.4	0	0	0	0	0
AC131935.1	0	0	0	0	0
AC131971.1	0	0	0	0	0
AC132186.1	0	0	0	0	0
AC132192.1	0	0	0	0	0
AC132216.1	0	0	0	0	0
AC132872.2	0	0	0	0	0
AC135048.1	0	0	0	0	0
AC135178.1	0	1	0	0	0
AC135983.2	0	0	0	0	0
AC136297.1	0	0	0	0	0
AC136604.1	0	0	0	0	0
AC137056.1	0	0	0	0	0
AC137932.1	0	0	0	0	0
AC138393.1	0	0	0	0	0
AC138517.1	0	0	0	0	0
AC138647.1	0	0	0	0	0
AC138655.1	0	0	0	0	0
AC138969.4	0	0	0	0	0
AC139100.2	0	0	0	0	0
AC139426.2	0	0	0	0	0
AC139768.1	0	0	0	0	0
AC140061.12	0	0	0	0	0
AC140481.2	0	0	0	0	0
AC142381.1	0	0	0	0	0
AC144568.2	0	0	0	0	0
AC145676.2	0	0	0	0	0
AC174470.1	0	0	0	0	0
AC187652.1	0	0	0	0	0
AC226150.4	0	0	0	0	0
ACAA1	0	8	1	0	2
ACAA2	0	9	1	1	4
ACACA	0	54	9	2	20
ACACB	0	25	4	0	5
ACAD10	0	4	0	0	0
ACAD11	0	3	0	0	0
ACAD8	0	3	0	0	0
ACAD9	0	2	0	0	1
ACADL	0	18	0	0	2
ACADM	0	15	2	2	5
ACADS	0	17	1	0	3
ACADSB	0	9	1	1	2
ACADVL	0	5	0	1	2
ACAN	2	24	5	9	61
ACAP1	0	11	0	7	3
ACAP2	1	11	0	3	4
ACAP3	0	2	0	0	0
ACAT1	0	56	5	4	17
ACAT2	1	19	1	1	7
ACBD3	0	8	0	0	1
ACBD4	0	1	0	0	0
ACBD5	0	2	0	0	0
ACBD6	0	2	0	0	1
ACBD7	0	0	1	0	0
ACCS	2	200	14	5	19
ACCSL	0	1	0	0	0
ACD	2	251	15	9	42
ACE	18	1094	120	43	235
ACE2	40	319	32	16	69
ACER1	0	3	0	0	2
ACER2	0	9	2	1	4
ACER3	0	10	3	0	4
ACHE	1	376	32	15	92
ACIN1	0	8	0	0	1
ACKR2	1	16	0	11	3
ACKR3	1	50	1	30	11
ACKR4	0	8	0	12	6
ACLY	3	146	17	10	34
ACMSD	0	6	0	0	0
ACN9	0	1	0	0	0
ACO1	1	14	4	1	4
ACO2	0	28	3	1	8
ACOT1	0	8	1	1	3
