gene	pubmed_invasion	pubmed_cancer	pubmed_growth	pubmed_migration	pubmed_prolifiration
COL28A1	0	1	0	0	0
COL2A1	1	34	10	17	96
COL3A1	6	144	19	26	90
COL4A1	2	105	7	17	26
COL4A2	2	58	4	12	21
COL4A3	1	20	5	3	6
COL4A3BP	0	4	0	0	1
COL4A4	0	6	1	1	3
COL4A5	4	20	1	1	5
COL4A6	4	18	1	1	5
COL5A1	0	79	5	9	18
COL5A2	0	92	2	5	13
COL5A3	0	11	0	1	1
COL6A1	2	57	3	7	11
COL6A2	2	24	0	7	4
COL6A3	3	84	1	5	13
COL6A5	0	9	0	1	1
COL6A6	0	16	0	1	3
COL7A1	2	32	5	2	5
COL8A1	0	32	3	3	9
COL8A2	0	4	1	3	8
COL9A1	0	3	1	0	5
COL9A2	0	7	1	1	2
COL9A3	0	9	1	1	4
COLCA1	0	16	0	0	0
COLCA2	0	8	0	0	0
COLEC10	0	4	0	2	1
COLEC11	0	1	0	3	0
COLEC12	0	9	0	1	2
COLGALT1	0	2	0	0	1
COLGALT2	1	3	0	0	0
COLQ	0	4	0	0	0
COMMD1	1	25	2	0	6
COMMD10	0	4	0	0	2
COMMD2	0	2	0	0	1
COMMD3	1	4	1	2	0
COMMD3-BMI1	0	2	1	0	0
COMMD4	0	5	1	0	1
COMMD5	0	4	1	1	4
COMMD6	0	2	0	0	0
COMMD7	1	7	0	2	6
COMMD8	0	5	0	2	2
COMMD9	0	2	0	0	0
COMP	4	162	12	18	59
COMT	3	431	9	4	33
COMTD1	0	0	0	0	0
COPA	1	31	1	1	5
COPB1	0	7	0	0	0
COPB2	1	25	4	2	11
COPE	9	3106	100	30	117
COPG1	0	5	0	0	1
COPG2	0	2	0	0	1
COPRS	0	0	0	0	0
COPS2	0	8	2	0	2
COPS3	0	9	1	0	5
COPS4	0	2	0	0	0
COPS5	2	34	5	1	7
COPS6	0	8	1	0	0
COPS7A	0	5	1	0	2
COPS7B	0	3	1	0	1
COPS8	0	5	1	1	1
COPZ1	0	8	1	0	1
COPZ2	0	3	2	0	2
COQ10A	0	0	0	0	0
COQ10B	0	0	0	1	2
COQ2	0	3	2	0	0
COQ3	0	3	0	0	0
COQ4	0	1	1	0	0
COQ5	0	0	0	0	0
COQ6	0	1	0	0	0
COQ7	0	3	1	0	1
COQ9	0	4	2	0	0
CORIN	0	5	0	2	2
CORO1A	0	9	0	4	2
CORO1B	0	5	0	3	1
CORO1C	2	28	2	9	10
CORO2A	0	5	0	3	1
CORO2B	1	2	0	1	0
CORO6	1	6	1	2	0
CORO7	0	2	0	2	2
CORO7-PAM16	0	0	0	0	0
CORT	0	27	5	0	69
COTL1	0	10	1	3	3
COX10	1	12	1	0	2
COX11	0	17	2	0	0
COX14	0	2	0	0	0
COX15	1	3	1	0	2
COX16	0	5	0	0	2
COX17	0	8	2	0	1
COX18	0	1	0	0	0
COX19	0	1	0	0	0
COX20	0	1	1	0	2
COX4I1	0	10	2	0	1
COX4I2	0	3	1	1	1
COX5A	0	7	3	0	3
COX5B	0	25	4	1	10
COX6A1	0	2	0	1	2
COX6A1P2	0	0	0	0	0
COX6A2	0	1	2	0	1
COX6B1	0	8	0	0	4
COX6B2	0	4	0	0	1
COX6C	0	14	2	0	1
COX7A1	0	12	0	0	2
COX7A2	0	5	0	0	1
COX7A2L	0	3	2	0	0
COX7B	0	4	2	0	1
COX7B2	0	2	0	0	0
COX7C	0	6	2	0	3
COX8A	0	3	0	0	0
COX8C	0	1	0	0	0
CP	35	3113	183	118	450
CPA1	0	20	1	0	2
CPA2	0	7	1	0	2
CPA3	0	10	2	1	0
CPA4	1	31	4	1	9
CPA5	0	0	0	0	1
CPA6	0	3	0	1	2
CPAMD8	0	1	0	0	0
CPB1	0	10	0	0	2
CPB2	1	7	1	0	1
CPD	3	362	39	6	34
CPE	8	253	37	14	46
CPEB1	3	31	2	9	11
CPEB2	1	16	0	2	4
CPEB3	0	29	4	2	15
CPEB4	1	35	4	10	10
CPED1	0	3	0	0	0
CPLX1	0	1	0	0	1
CPLX2	0	4	0	1	0
CPLX3	0	0	0	0	0
CPLX4	0	1	0	0	0
CPM	1	668	46	18	127
CPN1	0	5	1	0	0
CPN2	0	8	0	1	2
CPNE1	0	14	4	2	5
CPNE2	0	0	0	0	0
CPNE3	0	9	0	1	2
CPNE4	0	0	0	0	0
CPNE5	0	1	0	0	0
CPNE6	0	0	0	0	0
CPNE7	0	3	0	0	2
CPNE8	0	11	1	1	2
CPNE9	0	0	0	0	0
CPO	3	36	5	1	10
CPOX	0	10	0	0	1
CPPED1	0	4	0	0	0
CPQ	0	13	0	0	1
CPS1	2	56	7	2	15
CPSF1	0	8	2	0	4
CPSF2	0	6	1	1	1
CPSF3	0	8	2	0	1
CPSF3L	0	1	0	0	1
CPSF4	2	12	6	1	7
CPSF4L	0	0	0	0	0
CPSF6	1	9	2	2	3
CPSF7	0	4	0	2	3
CPT1A	1	123	10	8	37
CPT1B	0	26	1	1	7
CPT1C	0	27	1	1	7
CPT2	0	46	5	1	9
CPVL	0	4	0	1	1
CPXCR1	0	1	0	0	0
CPXM1	0	6	0	0	0
CPXM2	0	2	0	0	3
CPZ	0	57	7	2	18
CR1	3	116	17	15	31
CR1L	0	1	0	0	0
CR2	0	84	19	2	44
CR769776.1	0	0	0	0	0
CRABP1	0	70	4	2	10
CRABP2	1	67	5	3	19
CRADD	0	13	1	0	0
CRAMP1L	0	0	0	0	0
CRAT	0	9	0	0	0
CRB1	0	3	0	1	1
CRB2	1	4	1	1	2
CRB3	0	28	5	7	5
CRBN	0	97	15	0	10
CRCP	0	23	1	1	1
CRCT1	0	5	0	0	1
CREB1	11	195	22	18	83
CREB3	1	18	3	3	7
CREB3L1	2	27	2	4	8
CREB3L2	0	7	5	0	2
CREB3L3	0	6	1	0	2
CREB3L4	0	13	2	1	2
CREB5	1	28	3	4	7
CREBBP	0	191	5	8	23
CREBL2	0	2	1	1	2
CREBRF	1	8	3	1	6
CREBZF	0	8	5	0	3
CREG1	0	4	2	0	1
CREG2	0	0	0	0	0
CRELD1	0	3	0	0	1
CRELD2	0	6	1	1	0
CREM	0	35	4	5	21
CRH	3	135	11	5	40
CRHBP	1	10	0	0	2
CRHR1	2	15	1	2	2
CRHR2	2	17	2	2	2
CRIM1	1	22	3	2	10
CRIP1	2	28	1	4	8
CRIP2	1	9	1	0	1
CRIP3	0	4	0	0	0
CRIPAK	0	4	0	0	1
CRIPT	0	3	0	0	0
CRISP1	0	2	0	0	0
CRISP2	0	4	0	0	2
CRISP3	1	23	0	0	1
CRISPLD1	0	5	0	0	1
CRISPLD2	0	11	1	4	2
CRK	26	201	50	159	74
CRKL	10	127	19	35	60
CRLF1	0	4	1	1	6
CRLF2	0	26	3	0	6
CRLF3	0	2	0	0	0
CRLS1	0	5	2	0	1
CRMP1	4	15	1	9	6
CRNKL1	0	2	0	0	0
CRNN	0	15	0	0	1
CROCC	0	6	0	0	1
CROT	0	9	2	0	2
CRP	10	3652	55	41	133
CRTAC1	0	3	1	3	2
CRTAM	0	10	0	0	2
CRTAP	1	1	0	0	0
CRTC1	0	44	4	0	5
CRTC2	0	19	1	2	9
CRTC3	0	9	0	1	1
CRX	0	18	3	1	14
CRY1	0	95	9	2	24
CRY2	1	95	11	6	19
CRYAA	0	2	1	2	2
CRYAB	0	65	7	7	12
CRYBA1	0	0	0	2	0
CRYBA2	0	1	0	0	1
CRYBA4	1	1	0	0	1
CRYBB1	0	2	0	0	0
CRYBB2	0	7	0	2	0
CRYBB3	0	0	0	1	0
CRYBG3	0	8	0	1	3
CRYGA	0	0	0	0	0
CRYGB	0	1	0	1	0
CRYGC	0	1	1	2	1
CRYGD	0	1	0	0	0
CRYGN	0	1	0	0	0
CRYGS	0	0	0	1	1
CRYL1	0	2	1	0	1
CRYM	1	11	0	0	1
CRYZ	0	1	0	0	0
CRYZL1	0	1	0	0	0
CS	49	3557	316	195	699
CSAD	0	3	1	1	0
CSAG1	0	3	0	0	0
CSDC2	0	4	0	0	2
CSDE1	1	21	3	0	4
CSE1L	3	65	3	5	20
CSF1	21	182	5	50	47
CSF1R	16	221	10	25	45
CSF2	1	85	4	8	23
CSF2RA	0	7	0	1	3
CSF2RB	1	18	1	0	2
CSF3	1	32	4	4	14
CSF3R	1	23	1	3	3
CSGALNACT1	0	7	2	1	1
CSGALNACT2	0	3	1	1	0
CSH1	0	4	1	0	3
CSH2	1	9	2	1	5
CSHL1	0	1	0	0	0
CSK	8	133	38	35	54
CSMD1	2	53	0	2	6
CSMD2	0	12	0	1	1
CSMD3	0	41	0	0	1
CSN1S1	0	4	0	1	4
CSN2	2	14	9	2	16
CSN3	0	2	2	0	8
CSNK1A1	0	23	2	2	6
CSNK1A1L	0	1	0	0	0
CSNK1D	0	19	0	2	2
CSNK1E	0	39	1	0	2
CSNK1G1	2	5	1	2	5
CSNK1G2	0	2	0	0	0
CSNK1G3	0	2	0	0	0
CSNK2A1	2	35	4	4	5
CSNK2A2	0	10	0	0	1
CSNK2A3	0	3	0	1	2
CSNK2B	0	10	1	0	4
CSNK2B-LY6G5B-1181	0	0	0	0	0
CSPG4	4	82	9	7	12
CSPG5	0	5	0	1	0
CSPP1	0	14	3	2	6
CSRNP1	0	7	0	1	1
CSRNP2	0	1	0	0	0
CSRNP3	0	1	1	0	0
CSRP1	0	8	0	1	2
CSRP2	2	12	1	4	3
CSRP2BP	1	0	0	0	0
CSRP3	0	3	2	0	3
CST1	2	42	4	1	13
CST11	0	0	0	0	0
CST2	0	15	0	0	2
CST3	0	11	3	3	3
CST4	0	8	1	0	1
CST5	0	9	1	2	1
CST6	0	42	8	3	6
CST7	0	7	0	1	2
CST8	0	2	0	0	0
CST9	0	3	0	1	0
CST9L	0	0	0	0	0
CSTA	0	26	3	4	3
CSTB	1	22	1	2	7
CSTF1	0	1	0	0	0
CSTF2	0	12	2	0	4
CSTF2T	1	1	1	1	0
CSTF3	0	3	0	0	0
CSTL1	0	2	0	0	0
CT45A1	0	14	0	2	1
CT45A2	0	3	1	0	2
CT45A3	0	0	0	0	1
CT45A4	0	0	0	0	0
CT45A5	0	0	0	0	0
CT45A6	0	0	0	0	0
CT47A1	0	0	0	0	0
CT47A10	0	0	0	0	0
CT47A11	0	0	0	0	0
CT47A12	0	0	0	0	0
CT47A2	0	0	0	0	0
CT47A3	0	0	0	0	0
CT47A4	0	0	0	0	0
CT47A5	0	0	0	0	0
CT47A6	0	0	0	0	0
CT47A7	0	0	0	0	0
CT47A8	0	0	0	0	0
CT47A9	0	0	0	0	0
CT47B1	0	0	0	0	0
CT62	0	2	0	0	0
CTA-299D3.8	0	0	0	0	0
CTAG1A	0	7	0	0	0
CTAG1B	0	20	0	0	0
CTAG2	0	21	1	0	2
CTAGE1	0	4	0	0	0
CTAGE15	0	0	0	0	0
CTAGE4	0	2	0	0	0
CTAGE5	0	8	0	0	0
CTAGE6	0	0	0	0	0
CTAGE8	0	0	0	0	0
CTAGE9	0	0	0	0	0
CTB-102L5.4	0	0	0	0	0
CTB-129P6.11	0	0	0	0	0
CTB-133G6.1	0	0	0	0	0
CTB-134H23.2	0	0	0	0	0
CTB-167G5.5	0	0	0	0	0
CTB-186H2.3	0	0	0	0	0
CTB-50L17.14	0	0	0	0	0
CTB-54O9.9	0	0	0	0	0
CTB-58E17.5	0	0	0	0	0
CTB-60B18.6	0	0	0	0	0
CTB-78H18.1	0	0	0	0	0
CTB-96E2.2	0	0	0	0	0
CTBP1	7	108	9	16	41
CTBP2	4	70	5	18	26
CTBS	7	7	2	5	4
CTC-236F12.4	0	0	0	0	0
CTC-241N9.1	0	0	0	0	0
CTC-260F20.3	0	0	0	0	0
CTC-273B12.7	0	0	0	0	0
CTC-326K19.6	0	0	0	0	0
CTC-349C3.1	0	0	0	0	0
CTC-360G5.1	0	0	0	0	0
CTC-360G5.8	0	0	0	0	0
CTC-398G3.6	0	0	0	0	0
CTC-429P9.4	0	0	0	0	0
CTC-432M15.3	0	0	0	0	0
CTC-435M10.3	0	0	0	0	0
CTC-454I21.3	0	0	0	0	0
CTC-479C5.12	0	0	0	0	0
CTC-487M23.8	0	0	0	0	0
CTC-490E21.12	0	0	0	0	0
CTC-512J12.6	0	0	0	0	0
CTC-534A2.2	0	1	0	0	0
CTC-554D6.1	0	0	0	0	0
CTC-786C10.1	0	0	0	0	0
CTC1	0	41	0	0	8
CTCF	6	445	35	9	80
CTCFL	0	57	2	1	4
CTD-2006C1.10	0	0	0	0	0
CTD-2014B16.3	0	0	0	0	0
CTD-2021H9.3	0	0	0	0	0
CTD-2049J23.3	0	0	0	0	0
CTD-2054N24.2	0	0	0	0	0
CTD-2105E13.6	0	0	0	0	0
CTD-2116N17.1	0	0	0	0	0
CTD-2117L12.1	0	0	0	0	0
CTD-2132N18.3	0	0	0	0	0
CTD-2140B24.4	0	0	0	0	0
CTD-2144E22.5	0	0	0	0	0
CTD-2162K18.4	0	0	0	0	0
CTD-2192J16.20	0	0	0	0	0
CTD-2192J16.22	0	0	0	0	0
CTD-2192J16.24	0	0	0	0	0
CTD-2203A3.1	0	0	0	0	0
CTD-2207O23.10	0	0	0	0	0
CTD-2207O23.12	0	0	0	0	0
CTD-2207O23.3	0	0	0	0	0
CTD-2210P24.4	0	0	0	0	0
CTD-2215E18.1	0	0	0	0	0
CTD-2228K2.5	0	0	0	0	0
CTD-2260A17.2	0	0	0	0	0
CTD-2267D19.3	0	0	0	0	0
CTD-2278I10.6	0	0	0	0	0
CTD-2287O16.3	0	0	0	0	0
CTD-2330K9.3	0	0	0	0	0
CTD-2349B8.1	0	0	0	0	0
CTD-2368P22.1	0	0	0	0	0
CTD-2369P2.10	0	0	0	0	0
CTD-2369P2.12	0	0	0	0	0
CTD-2370N5.3	0	0	0	0	0
CTD-2410N18.5	0	0	0	0	0
CTD-2510F5.6	0	0	0	0	0
CTD-2521M24.10	0	0	0	0	0
CTD-2528L19.4	0	0	0	0	0
CTD-2535L24.2	0	0	0	0	0
CTD-2545G14.7	0	0	0	0	0
CTD-2545M3.6	0	0	0	0	0
CTD-2547L24.3	0	0	0	0	0
CTD-2561J22.3	0	0	0	0	0
CTD-2583A14.10	0	0	0	0	0
CTD-2583A14.9	0	0	0	0	0
CTD-2587H24.4	0	0	0	0	0
CTD-2600O9.1	0	0	0	0	0
CTD-2616J11.11	0	0	0	0	0
CTD-2616J11.4	0	0	0	0	0
CTD-3074O7.11	0	0	0	0	0
CTD-3088G3.8	0	0	0	0	0
CTD-3105H18.14	0	0	0	0	0
CTD-3105H18.16	0	0	0	0	0
CTD-3105H18.18	0	0	0	0	0
CTD-3138B18.4	0	0	0	0	0
CTD-3148I10.1	0	0	0	0	0
CTD-3148I10.9	0	0	0	0	0
CTD-3193O13.9	0	0	0	0	0
CTD-3203P2.2	0	0	0	0	0
CTD-3214H19.16	0	0	0	0	0
CTD-3214H19.4	0	0	0	0	0
CTD-3222D19.2	0	0	0	0	0
CTDNEP1	0	3	1	2	0
CTDP1	0	6	2	0	2
CTDSP1	0	9	2	0	3
CTDSP2	0	4	2	0	2
CTDSPL	0	20	4	2	4
CTDSPL2	0	1	0	2	0
CTF1	1	16	0	1	4
CTGF	25	552	137	156	436
CTH	1	76	8	2	16
CTHRC1	14	118	5	50	35
CTIF	0	2	0	0	0
CTLA4	7	1286	14	44	163
CTNNA1	2	83	3	3	12
CTNNA2	0	10	1	1	2
CTNNA3	0	13	1	1	2
CTNNAL1	0	15	0	3	1
CTNNB1	14	1271	72	55	240
CTNNBIP1	0	17	2	4	10
CTNNBL1	0	6	0	1	2
CTNND1	6	61	2	13	16
CTNND2	2	20	1	0	6
CTNS	0	11	0	0	5
CTPS1	0	14	2	0	7
CTPS2	0	6	2	0	2
CTR9	0	13	1	1	2
CTRB1	0	4	1	0	0
CTRB2	0	4	0	0	0
CTRC	0	22	0	0	0
CTRL	8	170	16	21	61
CTSA	1	25	1	4	4
CTSB	14	127	10	8	16
CTSC	1	30	2	2	7
CTSD	5	103	6	11	18
CTSE	0	29	0	0	1
CTSF	0	11	1	2	2
CTSG	1	13	2	1	1
CTSH	0	14	1	3	3
CTSK	3	46	5	12	25
CTSL	8	84	4	9	12
CTSO	1	7	0	1	1
CTSS	7	54	6	7	14
CTSV	2	12	0	0	1
CTSW	0	6	0	0	0
CTSZ	2	16	1	4	3
CTTN	4	73	5	26	16
CTTNBP2	1	6	0	2	2
CTTNBP2NL	1	1	0	1	0
CTU1	1	6	0	0	0
CTU2	0	2	0	0	0
CTXN1	0	6	1	0	0
CTXN2	0	0	0	0	0
CTXN3	0	0	0	0	1
CUBN	0	16	1	0	2
CUEDC1	0	4	1	0	1
CUEDC2	1	15	2	1	5
CUL1	7	157	34	17	68
CUL2	1	47	5	3	9
CUL3	0	163	11	11	32
CUL4A	6	105	13	10	36
CUL4B	11	80	17	6	36
CUL5	0	40	10	3	8
CUL7	0	12	7	4	5
CUL9	0	7	0	0	1
CUTA	0	3	0	0	3
CUTC	0	3	0	0	0
CUX1	1	54	5	10	23
CUX2	0	11	1	1	3
CUZD1	0	6	1	0	2
CWC15	0	1	0	0	0
CWC22	0	2	0	0	0
CWC25	0	1	0	0	0
CWC27	0	3	0	0	1
CWF19L1	0	1	0	0	2
CWF19L2	0	1	0	0	0
CWH43	0	3	0	0	2
CX3CL1	10	182	12	70	53
CX3CR1	7	181	13	73	56
CXADR	0	12	1	2	2
CXCL1	22	667	55	118	143
CXCL10	12	739	52	215	195
CXCL11	5	235	17	78	46
CXCL12	106	1677	128	737	343
CXCL13	9	276	9	94	65
CXCL14	5	122	9	28	29
CXCL16	5	161	15	44	36
CXCL17	0	32	0	6	5
CXCL2	8	258	18	44	67
CXCL3	3	118	8	18	20
CXCL5	9	302	22	58	65
CXCL6	1	65	10	17	22
CXCL9	8	451	20	96	96
CXCR1	10	289	23	74	77
CXCR2	33	622	38	171	147
CXCR3	16	502	30	235	139
CXCR4	219	3203	241	1266	725
CXCR5	7	161	6	69	67
CXCR6	5	124	8	34	26
CXorf21	0	0	0	0	0
CXorf22	0	0	0	0	0
CXorf23	0	0	0	0	0
CXorf24	0	0	0	0	0
CXorf27	0	0	0	0	0
CXorf28	0	0	0	0	0
CXorf30	0	0	0	0	0
CXorf31	0	0	0	0	0
CXorf36	0	1	0	0	0
CXorf38	0	1	0	1	1
CXorf40B	0	0	0	0	0
CXorf48	0	2	0	0	0
CXorf56	0	0	0	0	0
CXorf57	0	3	0	0	0
CXorf58	0	0	0	0	0
CXorf61	0	5	0	0	0
CXorf64	0	0	0	0	0
CXorf65	0	0	0	0	0
CXorf66	0	1	0	0	0
CXorf67	0	2	0	0	0
CXXC1	0	1	0	0	0
CXXC11	0	1	0	0	0
CXXC4	0	26	2	0	10
CXXC5	0	16	3	2	5
CYB561	0	6	1	1	1
CYB561A3	0	2	1	0	0
CYB561D1	0	0	0	0	0
CYB561D2	0	0	1	0	0
CYB5A	0	9	2	0	0
CYB5B	0	5	0	0	0
CYB5D1	0	1	0	0	0
CYB5D2	1	6	1	1	4
CYB5R1	0	2	0	0	0
CYB5R2	1	7	1	1	1
CYB5R3	0	13	3	0	0
CYB5R4	0	1	0	0	0
CYB5RL	0	0	0	0	1
CYBA	0	26	3	1	2
CYBB	1	25	1	2	5
CYBRD1	0	10	0	1	2
CYC1	0	13	17	0	5
CYCS	3	39	6	4	18
CYFIP1	2	15	1	4	1
CYFIP2	1	15	1	1	5
CYGB	0	51	2	4	8
CYHR1	0	3	0	0	0
CYLC1	0	1	0	0	0
CYLC2	0	2	0	0	0
CYLD	5	178	18	15	68
CYorf17	0	0	0	0	0
CYP11A1	1	77	21	9	109
CYP11B1	0	39	4	0	11
CYP11B2	0	33	4	1	22
CYP17A1	1	267	25	1	65
CYP19A1	1	296	21	5	103
CYP1A1	9	1778	70	20	177
CYP1A2	0	630	17	2	49
CYP1B1	3	869	46	21	99
CYP20A1	0	2	0	0	0
CYP21A2	0	23	0	5	4
CYP24A1	3	256	21	7	40
CYP26A1	0	48	4	2	25
CYP26B1	1	23	3	2	19
CYP26C1	0	3	1	0	2
CYP27A1	1	93	5	4	16
CYP27B1	2	213	13	1	39
CYP27C1	0	2	0	0	1
CYP2A13	0	50	1	0	0
CYP2A6	0	263	1	1	1
CYP2A7	0	19	1	0	0
CYP2B6	0	191	3	0	13
CYP2C18	0	13	0	0	0
CYP2C19	0	317	1	2	6
CYP2C8	2	193	1	5	10
CYP2C9	1	320	4	2	8
CYP2D6	0	884	6	1	19
CYP2E1	0	649	19	6	60
CYP2F1	0	15	1	0	3
CYP2J2	1	55	5	4	14
CYP2R1	0	63	2	0	8
CYP2S1	1	20	2	1	9
CYP2U1	0	6	0	0	0
CYP2W1	0	36	1	0	2
CYP39A1	0	13	1	1	4
CYP3A4	0	1172	43	6	70
CYP3A43	0	25	2	0	1
CYP3A5	0	327	11	1	5
CYP3A7	0	37	3	0	1
CYP46A1	0	6	1	0	1
CYP4A11	0	20	1	0	3
CYP4A22	0	4	0	0	0
CYP4B1	0	28	1	1	0
CYP4F11	0	9	1	0	1
CYP4F12	0	9	0	1	0
CYP4F2	0	29	2	0	3
CYP4F22	0	4	0	0	0
CYP4F3	0	10	0	0	1
CYP4F31P	0	0	0	0	0
CYP4V2	0	6	0	0	0
CYP4X1	0	7	1	0	2
CYP4Z1	0	41	1	0	1
CYP51A1	0	14	1	1	2
CYP7A1	0	38	3	0	15
CYP7B1	0	25	1	3	11
CYP8B1	0	14	0	0	2
CYR61	23	327	66	110	168
CYS1	1	12	2	2	1
CYSLTR1	1	17	0	1	2
CYSLTR2	0	14	0	0	1
CYSTM1	0	0	0	0	0
CYTH1	0	0	1	1	0
CYTH2	0	1	0	0	0
CYTH3	0	3	0	1	0
CYTH4	0	2	0	0	0
CYTIP	1	5	0	1	0
CYTL1	0	7	1	1	2
CYYR1	0	1	0	0	0
D2HGDH	0	11	1	0	4
DAAM1	4	33	4	18	6
DAAM2	1	20	0	2	1
DAB1	0	18	1	19	8
DAB2	2	122	23	18	37
DAB2IP	4	112	14	7	34
DACH1	5	85	8	11	27
DACH2	0	4	0	0	2
DACT1	0	23	1	2	8
DACT2	1	33	3	4	11
DACT3	1	17	0	1	1
DAD1	0	17	5	0	6
DAG1	0	9	1	1	3
DAGLA	0	5	0	0	1
DAGLB	0	3	0	0	0
DAK	0	17	0	0	0
DALRD3	0	1	0	0	0
DAND5	0	4	0	1	1
DAO	0	68	7	3	16
DAOA	0	2	0	0	0
DAP	4	282	35	0	46
DAP3	0	17	4	1	5
DAPK1	4	236	12	5	21
DAPK2	1	29	0	0	3
DAPK3	2	29	2	2	9
DAPL1	0	4	1	1	4
DAPP1	0	4	0	1	1
DARC	10	54	0	9	7
DARS	1	56	5	5	9
DARS2	0	8	2	0	1
DAW1	0	0	0	0	0
DAXX	1	161	17	6	34
DAZ1	0	2	0	0	0
DAZ2	0	0	0	0	0
DAZ3	0	0	0	0	0
DAZ4	0	0	0	0	0
DAZAP1	0	7	3	1	3
DAZAP2	0	3	0	0	1
DAZL	0	16	5	5	18
DBF4	0	38	4	1	9
DBF4B	0	1	0	0	1
DBH	0	30	2	3	4
DBI	1	32	7	1	13
DBN1	0	12	0	2	2
DBNDD1	0	1	0	0	0
DBNDD2	0	0	0	0	0
DBNL	1	5	1	1	0
DBP	2	413	20	5	68
DBR1	0	3	1	1	0
DBT	0	520	12	3	15
DBX1	0	2	0	0	1
DBX2	0	6	1	2	4
DCAF10	0	3	0	0	1
DCAF11	0	3	1	0	2
DCAF12	0	5	0	0	1
DCAF12L1	0	1	0	0	0
DCAF12L2	0	1	0	0	1
DCAF13	0	8	3	2	4
DCAF15	0	16	2	1	2
DCAF16	0	3	0	0	0
DCAF17	0	1	0	0	0
DCAF4	1	7	1	0	3
DCAF4L1	0	0	0	0	0
DCAF4L2	1	3	0	1	2
DCAF5	0	0	0	0	0
DCAF6	0	5	2	0	1
DCAF7	0	3	1	0	1
DCAF8	0	1	0	0	0
DCAF8L1	0	1	0	0	0
DCAF8L2	0	1	0	0	0
DCAKD	0	0	0	0	0
DCBLD1	0	13	0	0	0
DCBLD2	1	21	1	1	6
DCC	7	1155	36	63	59
DCD	0	36	3	4	6
DCDC1	0	1	0	0	0
DCDC2	0	6	0	3	1
DCDC2B	0	0	0	0	0
DCDC2C	0	0	0	0	0
DCHS1	0	2	0	2	1
DCHS2	0	3	0	0	0
DCK	0	212	7	5	22
DCLK1	4	209	7	21	34
DCLK2	1	0	0	0	0
DCLK3	0	3	0	0	0
DCLRE1A	0	5	1	0	0
DCLRE1B	0	7	0	0	0
DCLRE1C	0	9	0	0	0
DCN	4	152	20	23	46
DCP1A	1	15	2	1	6
DCP1B	0	0	0	0	0
DCP2	0	9	2	1	2
DCPS	0	22	1	0	1
DCST1	2	16	1	0	9
DCST2	0	0	0	0	0
DCSTAMP	1	1	0	4	0
DCT	2	145	6	10	23
DCTD	0	21	1	0	1
DCTN1	0	13	0	0	1
DCTN2	1	9	0	0	1
DCTN3	0	5	1	0	0
DCTN4	0	5	1	0	0
DCTN5	0	1	0	0	0
DCTN6	0	4	0	0	0
DCTPP1	0	12	2	0	2
DCUN1D1	3	18	3	4	7
DCUN1D2	0	1	1	0	1
DCUN1D3	0	2	1	0	0
DCUN1D4	0	1	0	0	0
DCUN1D5	0	3	0	0	0
DCX	6	58	6	49	317
DCXR	0	5	0	0	0
DDA1	0	7	1	0	3
DDAH1	1	18	7	4	12
DDAH2	0	5	0	2	2
DDB1	4	109	25	6	42
DDB2	1	132	11	1	13
DDC	0	209	36	4	62
DDC8	0	0	0	0	0
DDHD1	0	3	1	0	1
DDHD2	0	6	0	0	1
DDI1	0	3	1	0	0
DDI2	0	8	0	0	3
DDIT3	1	146	22	9	46
DDIT4	0	96	12	9	24
DDIT4L	0	7	0	0	2
DDN	0	17	1	2	3
DDO	0	10	0	0	1
DDOST	0	10	2	0	0
DDR1	23	228	13	54	47
DDR2	15	191	9	24	41
DDRGK1	1	4	1	0	2
DDT	2	485	20	10	55
DDTL	0	0	0	0	0
DDX1	0	23	1	1	1
DDX10	1	8	2	2	4
DDX11	0	40	4	1	18
DDX17	1	38	3	3	7
DDX18	0	9	1	0	2
DDX19A	0	4	0	1	1
DDX19B	0	3	0	0	0
DDX20	0	13	0	2	2
DDX21	2	29	6	1	14
DDX23	0	8	0	1	4
DDX24	0	6	1	1	2
DDX25	0	1	0	0	0
DDX26B	0	1	0	0	0
DDX27	0	10	0	1	2
DDX28	0	3	0	0	0
DDX31	0	3	0	1	0
DDX39A	0	6	0	0	0
DDX39B	0	17	0	0	2
DDX3X	2	73	8	4	16
DDX3Y	0	4	1	0	2
DDX4	0	24	2	5	11
DDX41	0	25	3	0	0
DDX42	0	3	2	1	2
DDX43	0	12	0	0	2
DDX46	2	7	2	1	5
DDX47	0	5	0	0	2
DDX49	1	4	2	0	4
DDX5	0	124	20	14	52
DDX50	0	1	0	0	0
DDX51	0	3	0	0	2
DDX52	0	5	3	0	1
DDX53	1	13	0	0	1
DDX54	0	4	1	0	2
DDX55	0	2	0	0	1
DDX56	0	10	2	0	5
DDX58	0	25	1	3	5
DDX59	0	4	2	0	3
DDX6	0	13	3	1	4
DDX60	0	7	0	2	2
DDX60L	0	1	0	0	1
DEAF1	0	7	0	0	1
DEC1	5	85	13	7	31
DECR1	0	10	1	1	3
DECR2	0	0	0	0	0
DEDD	0	14	4	0	8
DEDD2	0	5	1	0	1
DEF6	0	5	0	0	3
DEF8	0	3	1	0	0
DEFA1	1	4	0	0	1
DEFA1B	0	1	0	0	1
DEFA3	0	4	0	0	0
DEFA4	0	1	0	1	0
DEFA5	1	10	2	0	1
DEFA6	0	6	0	0	0
DEFB1	0	16	3	1	3
DEFB103A	0	1	0	0	0
